,Player,Team,Age,Height,Weight,UsageRate,AssistRate,ThreePtRate,FreeThrowRate,TotalFouls,TotalBlocks,OR3_per48,OR2_per48,DR3_per48,DR2_per48,label
0,Iman Shumpert,SAC,28,196,97,15.2,10.7,0.58,0.11800000000000001,92,20,0.3057,0.5241,1.9654,1.8781,0
2,Khris Middleton,MIL,27,203,100,25.1,20.1,0.413,0.225,172,7,0.2206,0.702,3.3698,4.5533,0
3,Ben Simmons,PHI,22,208,104,22.1,34.2,0.006,0.446,209,61,1.12,1.9378,3.8222,4.6756,0
5,Joe Ingles,UTAH,31,203,102,17.5,26.1,0.602,0.153,180,20,0.2243,0.3551,1.8131,3.5514,0
6,Trey Lyles,DEN,23,208,106,23.4,11.3,0.40399999999999997,0.23399999999999999,93,23,0.6,1.2429,3.0429,4.9286,0
9,Klay Thompson,GS,28,201,97,25.6,10.5,0.42700000000000005,0.113,157,47,0.1991,0.4344,2.2805,2.371,0
12,Kelly Oubre Jr.,PHX,23,201,92,24.7,8.7,0.384,0.29600000000000004,110,39,0.3661,1.3831,2.7661,2.8475,0
17,TJ Warren,PHX,25,203,97,22.7,7.7,0.295,0.203,119,29,0.1765,0.1765,0.8824,0.8118,0
20,DeMar DeRozan,SA,29,201,99,27.9,27.6,0.034,0.336,177,36,0.125,0.7857,2.7857,3.9464,0
22,Juan Hernangomez,DEN,23,206,99,12.2,5.3,0.5760000000000001,0.27399999999999997,94,24,0.7776,1.3432,2.9337,3.6053,0
25,Willy Hernangomez,CHA,24,211,108,22.1,11.5,0.132,0.488,98,20,1.7734,4.9064,4.4335,6.3251,0
26,Solomon Hill,NO,27,201,102,10.4,7.6,0.5670000000000001,0.18,80,10,0.656,1.1481,2.1321,3.0068,0
28,Gary Harris,DEN,24,193,92,20.0,11.0,0.38,0.226,113,19,0.3221,0.82,1.5815,1.7865,0
34,Kevin Durant,GS,30,208,108,29.0,26.2,0.281,0.366,155,84,0.2487,0.3198,3.322,4.2813,0
35,Bradley Beal,WSH,25,190,93,28.4,24.1,0.37,0.278,226,58,0.6816,0.6816,2.1083,2.79,0
39,Gordon Hayward,BOS,28,201,93,19.0,18.4,0.364,0.294,104,23,0.6184,0.7214,2.8857,3.2721,0
41,Norman Powell,TOR,25,193,97,19.0,11.6,0.425,0.188,96,13,0.1705,0.4689,2.643,2.2167,0
42,Omari Spellman,ATL,21,206,111,14.9,8.0,0.525,0.184,67,25,1.6099,2.4447,2.8025,3.2199,0
44,Reggie Jackson,DET,28,190,94,24.5,24.7,0.45,0.225,208,9,0.3145,0.6081,1.7195,1.7824,0
45,DeMarre Carroll,BKN,32,203,97,18.6,7.2,0.539,0.42100000000000004,114,10,1.0711,0.7892,3.2132,4.1433,0
46,Malcolm Brogdon,MIL,26,196,103,20.7,16.2,0.326,0.203,102,13,0.786,0.8384,2.7511,2.9869,0
51,Kyle Anderson,MEM,25,206,104,12.6,15.0,0.12300000000000001,0.23199999999999998,112,37,0.5621,1.1991,3.2225,3.5972,0
52,Taurean Prince,ATL,24,201,98,19.5,11.1,0.53,0.195,141,19,0.2474,0.433,2.3814,2.9691,0
53,DeAndre' Bembry,ATL,24,198,95,17.2,14.7,0.281,0.221,190,41,0.4723,0.87,3.9772,3.1569,0
57,Avery Bradley,LAC,28,188,81,14.2,8.8,0.41,0.06,133,16,0.3937,0.7546,1.3124,1.7717,0
